customer_no,opt_in,last_name,first_name,email
1559883,1,Smith,Jack,jack.smith@example.com
1559986,1,Smith,Jack,jack.smith@example.com
1560406,1,Smith,Jack,jack.smith@example.com
1564535,1,Smith,Jack,jack.smith@example.com
1565247,1,Brown,Jack,jack.brown@example.com
1566852,1,Smith,Jack,jack.smith@example.com
1569143,1,Smith,Jack,jack.smith@example.com
1569804,1,Smith,Jack,jack.smith@example.com
1571818,1,Smith,Jack,jack.smith@example.com
1587648,1,Smith,Jack,jack.smith@example.com
1588065,0,Smith,Jack,jack.smith@example.com
1589569,1,Smith,Jack,jack.smith@example.com
1605379,1,Smith,Jack,jack.smith@example.com
1606241,1,Smith,Jack,jack.smith@example.com
1611724,1,Smith,Jack,jack.smith@example.com
1621896,1,Smith,Jack,jack.smith@example.com
1622672,1,Smith,Jack,jack.smith@example.com
1623394,1,Smith,Jack,jack.smith@example.com
1626352,1,Smith,Jack,jack.smith@example.com
1627859,1,Smith,Jack,jack.smith@example.com
1631016,1,Smith,Jack,jack.smith@example.com
1634072,1,Smith,Jack,jack.smith@example.com
1634879,1,Smith,Jack,jack.smith@example.com
1635112,1,Smith,Jack,jack.smith@example.com
1635186,1,Smith,Jack,jack.smith@example.com
5700005736,1,Smith,John,john.smith@example.com
5700100894,1,Smith,Jack,jack.smith@example.com
5700112413,1,Smith,Jack,jack.smith@example.com
5700113864,1,Smith,Jack,jack.smith@example.com
5700115788,1,Smith,Jack,jack.smith@example.com
5700119164,1,Smith,Jack,jack.smith@example.com
5700122865,1,Smith,Jack,jack.smith@example.com
5700140267,1,Smith,John,john.smith@example.com
5700154781,0,Smith,John,john.smith@example.com
5700160468,1,Smith,Harry,harry.smith@example.com
5700166891,1,Smith,Jack,jack.smith@example.com
5700178438,1,Smith,Jack,jack.smith@example.com
5700182559,1,Smith,Jack,jack.smith@example.com
5700203652,1,Roberts,Jack,jack.roberts@example.com
5700212025,1,Smith,Jack,jack.smith@example.com
5700236807,1,Smith,Jack,jack.smith@example.com
5700262109,1,Smith,Jack,jack.smith@example.com
5700268119,1,Smith,Jack,jack.smith@example.com
5700268124,1,Smith,Jack,jack.smith@example.com
5700283182,1,Smith,Jack,jack.smith@example.com
5700299660,1,Smith,Jack,jack.smith@example.com
5700303139,1,Smith,Jack,jack.smith@example.com
5700314699,1,Smith,Jack,jack.smith@example.com
5700336806,1,Smith,Jack,jack.smith@example.com
5700508206,1,Smith,Jack,jack.smith@example.com
5700570488,0,Smith,Jack,jack.smith@example.com
5700575638,1,Smith,Jack,jack.smith@example.com
5700603586,0,Smith,Jack,jack.smith@example.com
5700617968,1,Smith,Jack,jack.smith@example.com
5700685078,1,Smith,John,john.smith@example.com
5700698944,1,Smith,John,john.smith@example.com
5700702841,1,Smith,Jack,jack.smith@example.com
5700848889,1,Smith,Jack,jack.smith@example.com
5700868282,1,Smith,Jack,jack.smith@example.com
5700868556,1,Smith,Jack,jack.smith@example.com
5700879098,1,Smith,Jack,jack.smith@example.com
5700879862,1,Evans,Jack,jack.evans@example.com
5700892484,1,Brown,Jack,jack.brown@example.com
5700941073,1,Smith,Jack,jack.smith@example.com
5700963269,1,Smith,Jack,jack.smith@example.com
5700974667,1,Smith,Jack,jack.smith@example.com
5700996524,1,Smith,Jack,jack.smith@example.com
5700996752,1,Smith,Megan,megan.smith@example.com
5700996920,1,Smith,Jack,jack.smith@example.com
5701000074,1,Smith,Jack,jack.smith@example.com
5701009788,1,Smith,Jack,jack.smith@example.com
5701012698,1,Smith,Jack,jack.smith@example.com
5701028576,1,Smith,Jack,jack.smith@example.com
5701047354,1,Smith,John,john.smith@example.com
5701068702,1,Smith,Jack,jack.smith@example.com
5701068739,1,Smith,Jack,jack.smith@example.com
5701105432,1,Smith,Jack,jack.smith@example.com
5701139891,1,Smith,Jack,jack.smith@example.com
5701149109,1,Smith,Jack,jack.smith@example.com
5701149899,1,Smith,Jack,jack.smith@example.com
5701184543,1,Smith,Jack,jack.smith@example.com
5701192338,1,Smith,Jack,jack.smith@example.com
5701194868,1,Smith,Jack,jack.smith@example.com
5701196539,1,Smith,Jack,jack.smith@example.com
5701199619,1,Smith,Jack,jack.smith@example.com
5701242638,1,Smith,John,john.smith@example.com
5701272269,1,Smith,John,john.smith@example.com
5701298706,1,Smith,Jack,jack.smith@example.com
5701323453,1,Smith,Jack,jack.smith@example.com
5701336577,1,Smith,Jack,jack.smith@example.com
5701363378,1,Smith,Jack,jack.smith@example.com
5701365449,1,Smith,Jack,jack.smith@example.com
5701370395,1,Smith,Jack,jack.smith@example.com
5701371019,1,Smith,Jack,jack.smith@example.com
5701375552,1,Smith,Jack,jack.smith@example.com
5701376340,1,Smith,Jack,jack.smith@example.com
5701379232,1,Smith,Jack,jack.smith@example.com
5701382775,1,Smith,Jack,jack.smith@example.com
5701397757,1,Smith,Jack,jack.smith@example.com
5701404238,1,Smith,Jack,jack.smith@example.com
5701406217,1,Smith,Jack,jack.smith@example.com
5701410277,1,Smith,Jack,jack.smith@example.com
5701410709,1,Smith,Jack,jack.smith@example.com
5701412386,1,Smith,Jack,jack.smith@example.com
5701413885,0,Smith,Jack,jack.smith@example.com
5701451048,1,Smith,Jack,jack.smith@example.com
5701456770,1,Smith,John,john.smith@example.com
5701462212,1,Smith,Jack,jack.smith@example.com
5701462515,1,Smith,John,john.smith@example.com
5701466110,1,Brown,Jack,jack.brown@example.com
5701471839,1,Smith,Jack,jack.smith@example.com
5701480186,0,Smith,Jack,jack.smith@example.com
5701484401,1,Smith,Jack,jack.smith@example.com
5701492053,1,Smith,Jack,jack.smith@example.com
5701494105,1,Roberts,John,john.roberts@example.com
5701499915,1,Smith,Jack,jack.smith@example.com
5701500516,1,Smith,Jack,jack.smith@example.com
5701512913,1,Smith,Jack,jack.smith@example.com
5701513355,1,Smith,Jack,jack.smith@example.com
5701513421,1,Smith,Jack,jack.smith@example.com
5701523201,1,Smith,Jack,jack.smith@example.com
5701535088,1,Smith,Jack,jack.smith@example.com
5701569520,1,Smith,Jack,jack.smith@example.com
5701578224,0,Smith,Victoria,victoria.smith@example.com
5701587428,1,Smith,Jack,jack.smith@example.com
5701590924,1,Smith,John,john.smith@example.com
5701591815,1,Smith,John,john.smith@example.com
5701615396,1,Brown,Isabella,isabella.brown@example.com
5701620271,1,Smith,Jack,jack.smith@example.com
5701633889,1,Smith,Jack,jack.smith@example.com
5701648024,1,Smith,Jack,jack.smith@example.com
5701653136,1,Smith,John,john.smith@example.com
5701654749,1,Smith,Jack,jack.smith@example.com
5701662664,1,Smith,Jack,jack.smith@example.com
5701681408,1,Smith,Jack,jack.smith@example.com
5701681566,0,Smith,Jack,jack.smith@example.com
5701685467,1,Smith,Jack,jack.smith@example.com
5701699248,1,Smith,Jack,jack.smith@example.com
5701701188,1,Smith,Jack,jack.smith@example.com
5701718463,1,Smith,Jack,jack.smith@example.com
5701728268,1,Smith,Jack,jack.smith@example.com
5701730603,1,Smith,Jack,jack.smith@example.com
5701738705,1,Smith,Jack,jack.smith@example.com
5701744989,1,Smith,Jack,jack.smith@example.com
5701745970,1,Smith,Jack,jack.smith@example.com
5701760359,1,Smith,John,john.smith@example.com
5701766133,1,Williams,Jack,jack.williams@example.com
5701781818,1,Smith,Jack,jack.smith@example.com
5701794898,1,Smith,Jack,jack.smith@example.com
5701796376,1,Smith,Jack,jack.smith@example.com
5701802594,0,Smith,Jack,jack.smith@example.com
5850077664,1,Smith,Jack,jack.smith@example.com
5850079922,1,Smith,Jack,jack.smith@example.com
5850080091,1,Smith,Jack,jack.smith@example.com
5850081546,1,Smith,Jack,jack.smith@example.com
5850089919,1,Smith,Jack,jack.smith@example.com
5850090054,1,Smith,Jack,jack.smith@example.com
5850095778,1,Smith,Jack,jack.smith@example.com
5850096251,1,Smith,Jack,jack.smith@example.com
5850099724,1,Smith,Jack,jack.smith@example.com
5850105376,1,Smith,Jack,jack.smith@example.com
5850105564,1,Smith,Jack,jack.smith@example.com
5850106254,1,Jones,Jack,jack.jones@example.com
5850107462,1,Smith,Jack,jack.smith@example.com
5850111917,1,Smith,Jack,jack.smith@example.com
5850112807,1,Smith,Jack,jack.smith@example.com
5850115654,1,Smith,Jack,jack.smith@example.com
5850116971,1,Smith,Jack,jack.smith@example.com
5850116984,1,Smith,Jack,jack.smith@example.com
5850118351,1,Smith,Jack,jack.smith@example.com
5850132060,0,Smith,Jack,jack.smith@example.com
5850132088,1,Smith,Jack,jack.smith@example.com
5850133127,1,Smith,John,john.smith@example.com
5850134129,1,Smith,Jack,jack.smith@example.com
